Post Survey Comments,Product Satisfaction,PMF Rating,Primary Replenishment Benefit,Select Top Benefit Replenishment,General Feedback,Experience Improvement,Why does Auto Deliver Hinder Experience
"Nope, I just love Walmart! Always have.",It doesn’t seem to pull items that I frequently purchase. It gets some but not a lot. It didn’t always work too but the survey team seems to be aware of that - that my cart wasn’t automatically replenishing every week. I feel like I wasn’t able to help a lot with this trial. I’m happy to help in any way I can even without payment.,No Reaction,"Helps me remember what items I probably need. There’s nothing worse than getting groceries and realizing you forgot something important. So it reduces the stress of grocery shopping. With time, the service gets better and better at determining how quickly I use items and need them replenished.","The ability to have a ""second you"" that knows what you need.","I wish I could intervene in the process and actually create a plan myself that says: I need 4 of these almond milks every week, these trash bags every month, eventually even so specific that it’s whatever almond milk per oz is cheapest, etc. We may be a long way from that last bit, but certainly me saying here’s what I eat every week, make sure I have it on hand.",Creating and controlling my own Replenishment list,"Because it creates a new issue - instead of what did I forget, it’s what did I forget to cancel."
I wish it would be easier to remove items from an order I have already placed. It’s a pain that I have to cancel the entire order.,I am not sure how to update my replenishment.,Slightly Disappointed,"Convenience but I still need to go through my items list to make sure that I have thought of everything. With replenishment I now have to check two lists, my items list and then the replenishment in my cart.",None of the above,I am not sure how to update my replenishment list and the timing of the replenishment.,Pre-booked delivery time,Auto delivery  would help but I need to add other  items at the last minute
I’m happy to be involved in this pilot and would be willing to do more. It wasn’t too much trouble at all.,"Its predictive value was pretty low. It put many things I needed in my cart, but missed many. I would say it didn’t really save me time.",No Reaction,Not really much benefit. I can just as easily go through my items and add what I actually need to my cart.,"The ability to easily make changes to your picks, so you're in control of what you buy.","Unfortunately I just don’t feel it offered many advantages. It didn’t slow me down, but didn’t really add to the process",Creating and controlling my own Replenishment list,Every week is different in my needs.
"At the beginning, I wasn’t 100% confident that it was not a scam.",Learn my patterns a little better,Moderately Dissapointed,It’s in the cart and I just have to adjust,"The ability to easily make changes to your picks, so you're in control of what you buy.",I don’t remember if coupons were automatically selected but that would be good to have,Creating and controlling my own Replenishment list,"I want to have control. I don’t think it is ‘smart’ enough. And it won’t know if it is a seasonable purchase or if I need to stop because of vacations, etc"
Thank you,Very convenient to not have to put my regular items in my cart,Slightly Disappointed,Makes shopping faster and I don’t have to think about what I need,"The ability to easily make changes to your picks, so you're in control of what you buy.",It was all good,Creating and controlling my own Replenishment list,Sometimes I still have items left from my previous order and don’t need more yet if they were auto delivered and also I want to make sure I can afford it before they are just purchased automatically
You guys have made my life so much easier! In home delivery is the best!,This saved me a lot of time and made shopping more simple. It’s like having my favorites added to my cart. I usually shop from my favorites list in the Walmart app. If I didn’t want/need something all I had to do was delete it.,Slightly Disappointed,It definitely saves time. And even if you don’t want something it doesn’t even take a second to delete it out of your cart. I can definitely see it being useful with small adjustments to it.,"It saves you time on the mundane, so you have time for the fun stuff.",I noticed one of my replenishment items had Walmart cash available. If I didn’t notice I wouldn’t have got the Walmart cash. You guys should automatically add the cash on replenishment items.     Definitely add more items to the cart as well. Other than that I think this is a pretty solid idea from you guys. Just last night I was on the Walmart app over an hour adding items for my order. I think replenishment will make it a lot quicker when it’s done right and save me and everyone lots of time.,Creating and controlling my own Replenishment list,Just timing honestly. My work schedule is all over the place so most of the time I have to place my order the night before I get my groceries. I wouldn’t want them randomly delivered or scheduled in advance as I can get called into work.
"I started off not believing that the program would be any benefit to me and in the beginning, with the quirks, I thought that would be true.  But after some time, I changed my own process to work in using the replenishment service and have built trust in it to the point of double checking myself if it’s in my suggestions.    I also want to mention that there was an idea of adding how to save more money with bulk buying or other brands and would also like to see that service also.    Thank you for the opportunity to participate.  I have enjoyed using the service and hope it remains.","It’s helpful as a reminder of things to order.  I’ve learned to trust the recommendations to the point that if it’s in my cart, I check to see if I need it and have found the item to be low.  If it wasn’t there, I would have missed it that week.",Very Disappointed,"It’s keeping up with me so I don’t have to keep up with myself.  It took time to build trust, but I’m invested now and it’s keeping up with my buying habits.","The ability to have a ""second you"" that knows what you need.","I think I would like more transparency to the process, I.e. the timeframe used from my past orders to make decisions.  I did make some changes to what I was ordering and I’m curious to know how long it will take to recognize the changes.  I know it won’t be immediate, but I would like to know how long the change has to be in place prior to it incorporating the changes.",Pre-booked delivery time,I must have misread the question.  I believe it would help improve my experience and had this as a suggestion in my previous survey.
N/A,Items beyond fresh and improving estimates week over week - adjusting up or down depending on previous orders,Slightly Disappointed,The ease of not having to add the usuals. The products are just there saving scrolling time and I can add/edit accordingly.,"It saves you time on the mundane, so you have time for the fun stuff.",Maybe a setting on what departments you want to opt in to for replenishment? It was nice to have and am looking forward to it being improved.,Other,I worry about an order not reaching the minimum and then forgetting about the auto delivery and it is not needed. I have enough things to keep track of and auto delivery would stress me out. I want to be in control of when my order comes.
Thank you for always trying to find ways to improve our shopping experience especially for families like ours who aren't able to make it into the store to pick up forgotten items.,"I have multiple children adding items to the cart. With that lots of things show up in the cart for the replenish that need to be deleted.  I prefer the ""don't forget to order"" popup that let's me add our frequently bought items to the cart and we don't get things we don't need if I don't get around to clearing out the cart before the order is sent for processing.",No Reaction,"If I need to be away from home for an extended period, this would allow me to order and know those frequently used items would be delivered for the family still at home and one less thing to do when I return.","The ability to have a ""second you"" that knows what you need.","After working through the glitch of items not adding to the cart, I thought that it was very easy to navigate.  Maybe adding the date the item was last purchased would be helpful when I'm not motivated to actually go look and see what it left of the item, but if I knew it was purchased last week vs 4 weeks ago I would know if we needed it.",Creating and controlling my own Replenishment list,"I have a medically fragile child and I want to pick a day for delivery each week that will allow me to be at home to put things away and not a pile waiting for me after a stressful hospital stay or appointments.  I also have a specific organization system for items and like to check items before putting them away so I have the associates set things on the counter.  This would be a great benefit for most families, but not a fit for our family."
"The replenishment pilot was an enjoyable experience. Communication was frequent and clear, and Eileen did a great job at managing the process.",I would suggest providing a wider selection of items through replenishment. Some items were suggested but I’d appreciate a more comprehensive selection of items added to my basket to make shopping easier.,Moderately Dissapointed,It makes shopping faster and easier by refilling your cart with items you buy every week.,"The ability to easily make changes to your picks, so you're in control of what you buy.","I would suggest tracking the items that are purchased every week and always include those. It also might be a good idea to suggest items that pair well such as pasta and pasta sauce, etc., to help with meal planning.",Pairing recipes with product suggestions,I would like to have control over the items I purchase. I would prefer suggestions to automatic deliver to maintain control over my shopping experience.
"I think y’all have one of the best grocery shopping apps/services. I love not having to go to the grocery store.  With the volume of customers you have, you probably don’t have time for everyone’s nitpicky requests, but the Central Market app lets you add notes to each item and in their produce they have additional choices on things like avocados: soft or hard; bananas: green or yellow; things like that to get closer to what you’d pick yourself.",It was easy. The replenishment items were pretty accurate.,Slightly Disappointed,Saves time and effort,"It saves you time on the mundane, so you have time for the fun stuff.",I can’t really think of any dislikes or improvements.,Setting my substitutions,That feels like a subscription and I hate subscriptions. I want to decide when I need something and not worry about keeping up with things being delivered that I may not need yet.
I think it is a good idea and can eventually be successful.,I’m not sure. I felt like sometimes my basket wasn’t replenished and then other times it was replenished when I didn’t need it to be.,No Reaction,"I’m not really sure I found found a benefit, but I suppose that sometimes my cart was replenished with things that I forgot I needed.",None of the above,I didn’t feel like replenishment really helped me.,Pairing recipes with product suggestions,Because my schedule often changes.
No,Nothing as of now,Slightly Disappointed,Easy shopping,"The ability to easily make changes to your picks, so you're in control of what you buy.",Process is easy to use no recommendations as of now,Suggestions for new products we think your family might like,Auto delivery should be used with the required day and time for delivery not anytime suggested by app
N/A,Nothing comes to mind,Slightly Disappointed,Not needing to re-add the same items weekly,"The ability to easily make changes to your picks, so you're in control of what you buy.","The notifications that they were ready for review were helpful, and I enjoyed that there was. Replenishment tag on each item that was automatically added. If that tag wasn’t there on the item, I would be very opposed to Replenishment",Suggestions for new products we think your family might like,I don’t want to be surprisingly charged if I accidentally missed a notification or forgot that it’s a replenishment day
N/A,Easier to remember weekly items and liked they were highlighted in yellow,Very Disappointed,Easier to shop,"It saves you time on the mundane, so you have time for the fun stuff.",Really liked the program,Pre-booked delivery time,Our days change because of family and kids visiting
Nothing more then what I already have.,It’s been great till now. Sometime it does not auto add some monthly items. It does great job in adding the weekly items.,Very Disappointed,Just saves a lot a time adding the weekly groceries items that we usually have to buy. Atleast 2-4 hours saved per month and very rare to miss anything now.,"It saves you time on the mundane, so you have time for the fun stuff.",Very good experience. Saved a lot of time. Hoping that the algorithm always learn and update the future picks.,Suggestions for how I can save by buying in bulk or switching brands,Because sometimes we are on vacation or not available. So I want to make sure we want to buy the items in the list and someone is present to pick up the items at home when the delivery is scheduled.
Nice job Walmart team. I bet this feature is a lot of fun to develop!,Replenishment caught several items I was missing from my normal grocery orders on MULTIPLE occasions. These were items that I didn’t order as often but when you don’t have them you know it.,Slightly Disappointed,"The reminder of items you don’t order as often, but normally forget. These are items like kitty litter, toiletries, cleaning products. These items are really painful not to have when you need them.","The ability to have a ""second you"" that knows what you need.","By the end the item quantity was really precise! I don’t think it ever replenished my pet products, including kitty litter. No random recommendations from third party vendors. This could be a big opportunity for you to add value to your vendors and maybe up charge for the recommendation. In my case it would be precious metals. Hope this helps my friends.",Suggestions for how I can save by buying in bulk or switching brands,I don’t trust any algorithm enough for auto delivery 🤣👌
Nope,I think it was great and helped me remember when groceries I needed,Moderately Dissapointed,Reminders to order,"The ability to have a ""second you"" that knows what you need.",None- it was great,Suggestions for how I can save by buying in bulk or switching brands,I would be too nervous I would be getting things and paying for things I don't need. I like replenishment in the cart but not the subscription model.
Thanks for letting me try this out!,It’s hard to say. It is possible that it was difficult timing to predict what I was going to buy. Life has been more unpredictable in the summer months.,No Reaction,"As my habits become more predictable, the benefit would be that I can think less and have things added to the cart automatically. So I guess reducing my mental load","The ability to have a ""second you"" that knows what you need.","There seemed to always be a few products added to my cart, which was nice, but it usually was the same ones over and over again. I didn’t typically need those same few that often. Bananas are probably the exception to that.",Suggestions for how I can save by buying in bulk or switching brands,I would be frustrated if I didn’t have time to edit the list before my delivery arrived.
N/A,It might be helpful to add a “bank” of products to choose from to replenish,Moderately Dissapointed,Saves me time and effort,"The ability to easily make changes to your picks, so you're in control of what you buy.",I loved that it saved me time and knew products I buy on a weekly basis. I also loved that it was easy to remove if it was not what I wanted to buy at the moment.,Suggestions for how I can save by buying in bulk or switching brands,Because sometimes the item is not needed so it would be helpful to have the option to modify and remove anything that isn’t needed
"I don't think this had any cause from the replenishment program, but I had a lot of delivery issues with my normal store in the past few months. I have contacted support about it already but it has been a very frustrating experience overall.",Maybe have an option for certain items to not come up to be replenished? Sometimes I just need one specific item a singular time but the replenishment would keep adding it back to my cart in the following weeks.,Moderately Dissapointed,I don't have to spend as much time adding my regular items to the cart every week.,"The ability to easily make changes to your picks, so you're in control of what you buy.","For the purposes of the pilot, it would have been beneficial to see what it was like to test out skipping a week. I know that's an option but I didn't get to test it per the terms of the pilot.",Creating and controlling my own Replenishment list,"The items that I need vary from week to week and are dependent on what I currently have at home. If this program was set up for auto delivery, I would not use it. It would result in needless food waste."
N/A,"Often times, the Replenishment selections are items I've very recently ordered (via Walmart.com). To me, there needs to be a check right before the weekly Replenishment list is released to ensure items recently purchased (say, within the past 2-3 days) aren't on the list. Also, it would be helpful if customers had the ability to set a replenishment cycle for certain items. For example, ""suggest this item every week"" vs ""suggest this item every 2 weeks"".",Slightly Disappointed,"It does help me keep track of food items I need to purchase each week; however, between the ""Reorder: My Items"" list and suggested items that appear during checkout, I don't know that Replenishment is really benefiting me. UNLESS, the weekly items are more accurate.","The ability to have a ""second you"" that knows what you need.","I can't think of any other feedback I haven't already stated. Generally, I would just love to see more accurate results.",Creating and controlling my own Replenishment list,"Given that I mostly order perishable food items, I feel like I would risk a situation where an auto-delivery is made whenever I am not at home."
Love seeing improvements being made to the services we use so frequently!,It makes the weekly grocery shopping that much easier.,Very Disappointed,It simplifies building my shopping list since we have a lot of recurring items that we get almost weekly.,"It saves you time on the mundane, so you have time for the fun stuff.","I think it would be better to have a Replenishment button. So instead of it happening at a scheduled interval, but rather whenever you are ready to build your shopping list you can click a button and it would then more or less completely build our your cart.",Creating and controlling my own Replenishment list,I think it very much would. But just wasn't most important to me. I think auto delivery would be awesome
"With some additional tuning, I think the replenishment program could be very useful. The ability to remove an item from future replenishment picks (to say ""stop recommending this item"") would be nice to have.","While replenishment was useful overall, I would rather have the replenishment feature add less of the things I need to my cart than too much. For example, I noticed one week it added two lemons to the cart when I normally only occasionally order one lemon. I did notice as the pilot went on, the algorithm seemed to get better at predicting my replenishment.",Slightly Disappointed,"I don't like subscription services, but this is a good middle ground because it reminds you of items you need without immediately charging you like a subscription service. It allows for better control of shopping than a subscription service in my opinion.","The ability to easily make changes to your picks, so you're in control of what you buy.","A ""clear cart"" or ""clear replenishment picks"" option would be nice to have in cases where we need to quickly remove everything from the cart. For example, I was about to go on vacation and wanted to order a few things that didn't match any of my usual picks, but I had to remove everything in the cart in order to do this.    I think overall the replenishment program was being improved on over the course of the pilot, or at least the algorithm seemed to slowly improve over time. One issue I saw with it recently was it added two of the same items of different sizes to the cart once, which I obviously would not want.",Suggestions for how I can save by buying in bulk or switching brands,I do not like auto delivery or subscription services because it's easy to forget to cancel and my plans often change unexpectedly when I need to travel and do not need groceries for an uncertain period of time.
"It's reassuring to know that you work diligently and care about us, the customers, and that you have programs like this to enhance the shopping experience.",Continue tracking the items I use most frequently to ensure the choices remain current and maintain the flexibility to alter the replenishment day of the week as needed.,Moderately Dissapointed,It saves time and minimizes errors.,"It saves you time on the mundane, so you have time for the fun stuff.",I've observed that the items on my replenishment list are now more precise and abundant. It seems the program has enhanced its ability to recognize the items I frequently use and need.,Suggestions for how I can save by buying in bulk or switching brands,It would be solely to reassess whether I've altered my opinion on items that I may not currently need so urgently.
Thank you for the opportunity!,Made making my order quicker by having my most frequent items already in my cart. Was easy to adjust the quantity too if necessary.,Moderately Dissapointed,Helps speed up the process of doing a grocery order.,"The ability to easily make changes to your picks, so you're in control of what you buy.","Overall loved the program. It worked for me, although my weekly groceries vary, it was easy to customize.",Creating and controlling my own Replenishment list,My schedule varies so might be an issue if you have something on auto delivery and forget to adjust the item or delivery time
Thanks for letting me take part in this program!,I like having the things I buy all the time already loaded into my cart!,Very Disappointed,I didn't have to take the time to add all of the things I normally buy into my cart.,"The ability to easily make changes to your picks, so you're in control of what you buy.","There was a glitch a few times that when the Replenishment Program added items to my cart, I was logged out of the app and I had to log back in.  Also, because the program started at the end of spring, sometimes the items didn't match perfectly this summer because I do less cooking in the summer and eat more foods that don't require baking.  I guess what I am trying to say is that seasonal changes will affect the type of foods I choose and it might take the Replenishment Program a little while to catch up.",Creating and controlling my own Replenishment list,"It would be convenient but if I am on vacation or something, I order from a different store.  Also, I order at different times in the week depending on if I am having a party or get together."
"Overall, you're doing a great job! Walmart grocery is a fantastic service.",Have even more of my favorite groceries waiting in the replenishment cart. It's quicker to remove items than to find items and add them.,Moderately Dissapointed,It's a time saver. Very convenient!,"It saves you time on the mundane, so you have time for the fun stuff.","For fruit and vegetables, the quantity was sometimes not set in the replenishment cart at the amount I buy. For example, I buy .25 of a pound of jalapenos but one of the times, I believe my replenishment of jalapenos was set to way more than that.",Setting my substitutions,"The idea of ""auto delivery"" makes me uncomfortable because I would want to approve/decline items in my cart as well as set the day/time for delivery that works with my schedule."
N/A,sometimes I put in an order in between replenishment refills and replenishment will suggest groceries that I just picked up like the day before which I then have to remove,No Reaction,"helps stay on top of grocery shopping, saves time","The ability to have a ""second you"" that knows what you need.",more easily able to request replenishment on different days,Suggestions for how I can save by buying in bulk or switching brands,"as I have already mentioned - a few times I have gotten orders of items in between my replenishment refills and the replenishment picks will suggest things I may have just restocked a couple days before. Replenishment should know I dont need those items again so soon - if it was all set up for auto delivery, I would end up with too much of those items because it seems like replenishment isn't accounting for orders in between replenishment picks"
Nothiny,"Add more utility. Other than adding to my cart automatically, I’m not sure it adds a ton of value past my weekly normal shopping routines. I need it to be additive to my experience for me to use it often or find value from it",No Reaction,Walmart shopping experience is awesome. I didn’t find a ton of additional value from this. My behaviors would likely stay the same,"The ability to easily make changes to your picks, so you're in control of what you buy.",Nothing,Suggestions for how I can save by buying in bulk or switching brands,I need to be home at certain times and to plan things going into my fridge. So timing is delicate for me and needs to be set specifically for when I’m free
I love Walmart!! I just moved to San Diego and InHome is NOT offered here and I AM SO SAD!! Bring in home to San Diego please!! Carlsbad specifically:)),I think I would like to be able to select which items I want to replenish and be able to set my day of the week for the replenishment to hit cause sometimes the replenishment didn’t come and I needed to order groceries anyways,Moderately Dissapointed,Not having to search and add the regular items to my cart (like Greek yogurt). Also sometimes when I shop around I spend more money and buy things I don’t really need so this helped me to stay on budget. Also it helped me not forget important things I need,"It saves you time on the mundane, so you have time for the fun stuff.","A replenishment list would be great, one that I could modify and add substitutes for and set a cadence",Creating and controlling my own Replenishment list,That scares me. My life is too unpredictable to commit to something like that.
N/A,More control over the timing of the replenishment,Slightly Disappointed,Reminder to purchase things.,"It saves you time on the mundane, so you have time for the fun stuff.","I typically shop under my favorites. Swiping through and pull out what we need. If the replenished picks worked together on this view better I would enjoy it more. Maybe when I go to shop instead of replenishing the cart, the items that would be under the replenish are highlighted. I’d also like to note when something was loved or only by rarely. Or when our garden is producing cucumbers, I can slow the replenishment of cucumbers as an example",Creating and controlling my own Replenishment list,Sometimes I didn’t need something replenished or did need something not on the list. I would hate for an auto delivery to come then turn around and immediately have to order something else
N/A,"I don’t have any specific problems with it. I just don’t find it super useful. It’s just as easy to go through the “my items list and add what I need.     There are items that I use regularly (like coffee creamer), but I don’t necessarily need every week. The algorithm doesn’t seem to account for how often I order certain things.",No Reaction,I don’t know if it really saves much time. The time I spent removing unwanted items equaled out to the time I would have spent just adding the items I needed.,"The ability to easily make changes to your picks, so you're in control of what you buy.","My feelings are neutral on the service. I’m not too bothered by having it, but I wouldn’t miss not having it either.     As I previously mentioned, the algorithm needs to account for purchase frequency better.",Creating and controlling my own Replenishment list,"I’m not a fan of auto delivery. If you miss canceling a delivery, you can end up with items that you don’t need."
One of biggest issues with InHome is when the driver fails to deliver all of the items in my order even though they were picked and on the van.  Getting the issue resolved takes a fair amount of time and phone calls.  Returns aren't possible because I haven't received the items and often the missing items are needed but don't hit the order minimum.,I like the fact that 1) I was reminded to place an order each week.  That way I got my preferred day/time and 2) it already did some of the work for me.,Very Disappointed,Time savings and being reminded to place an order.,"It saves you time on the mundane, so you have time for the fun stuff.","Perhaps think about user input to adjust how aggressive the algorithm is in adding things to your cart.  While I prefer more, there are others, I'm sure, who are not comfortable with that.",Creating and controlling my own Replenishment list,I have 2 homes and switch between homes frequently.  They use differing stores and deliveries by in-home are not available at one of the homes.
N/A,Be able to pick the day the replenishments are added to cart,Moderately Dissapointed,One less step of having to search for the items I would have added anyways,"It saves you time on the mundane, so you have time for the fun stuff.",I liked that they are marked replenishment item so that I know it was not my husband who added it. I liked that there were not too many but always something I would have added anyways so less to search for to add to cart. I tend to shop tuesday or wednesday so if one wednesday I shopped but then next week Tuesday then that week didn't have the items added because i had already used them. So if i could pick the day for example Sundays then it would have been there every week.,Creating and controlling my own Replenishment list,Because sometimes I have already received my bananas from a different store because we used more than expected that week. So the over abundance of fresh products would result in some going to waste.
N/A,Better picks,Moderately Dissapointed,Most of the items I purchase regularly are already there in the cart when I open the app to schedule a delivery.,"It saves you time on the mundane, so you have time for the fun stuff.",None that I can think of at this time,Suggestions for how I can save by buying in bulk or switching brands,Replenishment is not always adding the products I need and I don’t want the hassle of returning items I don’t need frequently.
I use Walmart a lot and was honored to be a part of this pilot.,A button to remove all replenishment items.   The quantities were odd sometimes.   Focus on offering household  or large quantity items that aren’t ordered as frequently and are easy to forget.,No Reaction,"If I could select the items that get replenished each week, it would be very helpful and save time.","The ability to have a ""second you"" that knows what you need.",See other responses. Nothing left to add.,Creating and controlling my own Replenishment list,"It may not be friendly for my budget. Also, my weeks vary and a preset delivery time would be difficult to work around"
Nothing else at this time,"Separate the inboxes - for example, like Outlook  has a Focused Inbox option, Replenishment should have a toggle between Actual Cart and Replenhismnet Cart that way you do not have to edit items every single time.",Moderately Dissapointed,"Eventually, I hope it will get to the point where I have to think LESS about what I need to order.","The ability to have a ""second you"" that knows what you need.",See before comments; nothing new,Suggestions for how I can save by buying in bulk or switching brands,"Since some items were overestimated, I think I would begin piling up on certain items or being overstocked"
Thank you for letting us participate and for the monetary reward. And God bless you!,Add to the next replenishment list items that were ordered but were not available.,Slightly Disappointed,It does a good job at guessing my next order. It is helpful.,"The ability to have a ""second you"" that knows what you need.",(none),Other,Not even exactly sure what auto delivery is.
"It's a great program, please keep it active!",having things already in my cart makes my grocery shopping so much easier,Very Disappointed,"The main benefits are that it saves time on your weekly online grocery shopping when your regular stuff is already in your cart, it also reminds you of possible things you may forget.","The ability to have a ""second you"" that knows what you need.","I absolutely loved not having to add the repetitive items on a weekly basis, it makes my life so much easier!",Suggestions for how I can save by buying in bulk or switching brands,I may still have those items in stock and do not want to have an abundance of the same thing in my pantry.
Thanks for this opportunity!,Have replenishment items be editable. I didn’t always need 2 things of peppers but would forget that it defaulted to that.,Very Disappointed,I love not having to think of my weekly staples and have them just in my cart already.,"The ability to easily make changes to your picks, so you're in control of what you buy.",A part in your account to edit replenishments so that the next week would reflect that.,Creating and controlling my own Replenishment list,It’d be nice but I just prioritized other options on the list
I like the replenishment service and I hope that it will continue.,Some of my less frequent items are added a week early.,Very Disappointed,It saves me time.,"It saves you time on the mundane, so you have time for the fun stuff.",I like that my weekly items are added to my cart. The timing on my less frequently purchased items is a little off. I like that I don’t have to buy all the replenishment items if I don’t need them.,Setting my substitutions,I don’t always get my deliveries on the same day of the week or the same time of day.
Nothing today,Option to select what is on replenishment list,Slightly Disappointed,Ability to get needed items on a regular basis,"The ability to easily make changes to your picks, so you're in control of what you buy.",Thank you,Suggestions for how I can save by buying in bulk or switching brands,I don’t use all things at the same rate
N/A,It saved me time not having to add individual items one at a time. I also liked that I wasn’t committed to buy an item and I could remove it with one click. That makes me more likely to use a replenishment type service.,Moderately Dissapointed,Saves me time!,"It saves you time on the mundane, so you have time for the fun stuff.","Over time, it would be good for Replenishment to add items that aren’t purchased on a weekly basis. There are some things I buy only every two weeks or monthly. Or maybe I stocked up on something last week and so this week I don’t need an item. This is a level of personalization that could be achieved, although I know it is a big technical lift.",Creating and controlling my own Replenishment list,"I may not need an item. With my family size, I can’t be sure that I need something auto delivered every week."
No thanks,I would like to see the option to change my replenishment day if there isn’t already one. Also I would like to see more put in my cart each week than I regularly saw. There were a few times that there were only 10-15 items.,Moderately Dissapointed,"If enough items were added, then it would save time.","It saves you time on the mundane, so you have time for the fun stuff.",As I already mentioned I would like the option to change replenishment day and see more times in my cart.,Creating and controlling my own Replenishment list,My schedule varies so a regularly scheduled delivery date would not work for me.
Thanks for coming up with Replenishment.,Helps me to remember basics. Not sure how to add some additional items.,Very Disappointed,Saves me trying to remember the items I usually need.,"The ability to easily make changes to your picks, so you're in control of what you buy.",How do I add additional items. And I am not sure where to find replenishment.,Creating and controlling my own Replenishment list,My schedule varies.
"No, but thank you for asking.","It's a nice time saver to have the items I regularly purchase already in my cart. Should it be the case I don't need any of my 'regulars', all I have to do is remove it from my cart--it really is that easy!",Slightly Disappointed,Saving time building my bi-weekly grocery list. Oh! And I worry a lot less about forgetting items I regularly purchase.,"The ability to have a ""second you"" that knows what you need.",I have nothing else to add.,Setting my substitutions,"I'm on a fixed income; therefore, I have a designated amount of money on designated days of the month to make my planned Walmart purchases. I simply don't have the money for automatic purchases."
"Thank you very much for the opportunity to experience the pilot of this new program.  This has been an enjoyable experience.  Also, kudos to Eileen who has been very helpful and clear with her communication throughout the pilot.",Replenishment is a great way to save time and enjoy added convenience with my Walmart+ membership.,Very Disappointed,The time savings of having my most frequently bought items automatically placed in my cart for review.,"The ability to easily make changes to your picks, so you're in control of what you buy.","Honestly, the only issues that I faced were corrected during the course of the pilot program.  This really is a great product.",Suggestions for how I can save by buying in bulk or switching brands,"I do not routinely place my orders on the same cadence, so I actually value the flexibility that this program offers by not requiring automatic delivery.  Further, there are times when it is not convenient to review the proposed replenishment items, so automatic delivery would result in wasted products or would cause me to return items later."
"Here are some random ideas I had that are more geared at Walmart+ vs the replenishment program:    COLD STUFF…there’s gotta be a fix for frozen fresh veggies. I really like our deliveries, but about 70% of the time I order delicate fresh produce like lettuce, lettuce kits, broccoli, etc., it gets packed into the cold box, but the cold box is so cold that it freezes the lettuce. Let me tell you, there’s a reason we don’t sell frozen lettuce. We’re towards the end of the route, but I have to return it very often and it’s frustrating     Consider Pop up “hey, we have time slots open tomorrow…need anything?”messages    Be able to pre-schedule multiple orders (like for vacations)    The 9-1 2-6 time windows are really awkward and almost enough to make me want to drop +. I suspect they wouldn’t work for families with two working families adults as you can’t plan for after work. 2-6 usually works better for us but we have kids to pick up and it cancels all afternoon windows for us.","Customizable favorites…I want to pick what I’m prompted about as I forget my regulars sometimes and it would be nice to automate bread, eggs, milks, etc    Pop up “hey, we have time slots open tomorrow…need anything?”    Small discount for scheduling reordered items (like with amazons subscribe and save)    Grouped customizable items (like “taco night”, bbq, breakfast, campfire night) so I can just hit one group instead of remembering all the bits of that group  I think they might also have grouped meals already?    Be able to pre-schedule advance orders (like for vacations)    The 9-1 2-6 time windows are really awkward and almost enough to make me want to drop +. I suspect they wouldn’t work for families with two working families adults as you can’t plan for after work. 2-6 usually works better for us but we have kids to pick up and it cancels all afternoon windows for us.     Sorry…I know some of these are more about Walmart + than replenishment!",Slightly Disappointed,I have too much on my plate and being able to automate something is awesome,"The ability to have a ""second you"" that knows what you need.","I’d like the ability to     -design my own replenishment list (even if the program also adds its own)    - make groups for known meals (eg meat, shells, cheese, sour cream, tomato for taco night)    - suggested meal groups! …maybe even a box of recipes that you can sort by vegetarian/keto/kid friendly/etc   Make it like I’m ordering a meal kit from one of the meal kit companies, but I can edit ingredients that I have already. The only thing might be figuring how to not give people way too much sauce or whatever (as those kits send little packets vs a whole bottle) BUT that might be fixed by the ability to edit   …the ability to use it as a meal planning tool would be great",Creating and controlling my own Replenishment list,Heck no. That feels way too intrusive. I’m a busy mom and I don’t check my emails every day. I’d 100% miss some “your auto delivery is tomorrow “ message and I’d be angry that I’m out $ and didn’t get what I actually needed AND my groceries all sat on my porch all day. It feels pushy and scammy.
N/A,Easy to use,Moderately Dissapointed,Saves time and helps remember,"The ability to have a ""second you"" that knows what you need.",N/A,Creating and controlling my own Replenishment list,Easy to make a schedule
N/A,we like the time savings of having the items added directly to our cart.,Moderately Dissapointed,#1 - time savings  #2 - the reminder,"It saves you time on the mundane, so you have time for the fun stuff.","We really enjoyed using replenishment for its time-saving benefits and helpful reminders about needed items. The My Items feature is excellent, but its very convenient not having to scroll through all items weekly to update our shopping cart. when using replenishment, This service has streamlined our shopping process.",Suggestions for new products we think your family might like,"Our needs for certain items, especially fresh foods like meat and produce, can vary from week to week in both quantity and frequency."
"Nope, Thanks!","I think for the most part, Replenishment has been useful in saving some time. The biggest trouble I had was realizing the quantity of items that had been added to my cart (definitely more of a me problem). Also, it might be nice as a future enhancement to support having multiple replenishment days in a week. If we weren't ready to place our big weekly order and just needed a few items, we had to save all the replenishment items for later until we were ready.",Moderately Dissapointed,Replenishment definitely saves some time shopping for groceries.,"It saves you time on the mundane, so you have time for the fun stuff.","Overall, I liked the feature. I would definitely continue to use it if released.",Creating and controlling my own Replenishment list,My preferred delivery time sometimes changes from week to week.
I love that Walmart is always coming up w something new,The program made doing my weekly shop much easier. I truly appreciate anything that saves me time.,Moderately Dissapointed,Saves time,"The ability to easily make changes to your picks, so you're in control of what you buy.",It took me a little while before I realized I could change my date.,Pre-booked delivery time,I love having a choice
